CD_MUN	NM_MUN	SIGLA_UF	AREA_KM2	LONG_CENTROID	LAT_CENTROID
1100015	ALTA FLORESTA D'OESTE	RO	7067.127	-62.274661	-12.47013228
1100023	ARIQUEMES	RO	4426.571	-62.95725522	-9.951890007
1100031	CABIXI	RO	1314.352	-60.63980722	-13.47487855
1100049	CACOAL	RO	3793	-61.32472874	-11.30128736
1100056	CEREJEIRAS	RO	2783.3	-61.26094956	-13.20356161
1100064	COLORADO DO OESTE	RO	1451.06	-60.55024441	-13.15915311
1100072	CORUMBIARA	RO	3060.321	-61.09164646	-12.92662942
1100080	COSTA MARQUES	RO	4987.177	-64.05877174	-12.1472501
1100098	ESPIGAO D'OESTE	RO	4518.038	-60.78483065	-11.35134211
1100106	GUAJARA-MIRIM	RO	24856.877	-64.5375569	-11.30563631
1100114	JARU	RO	2944.128	-62.58486558	-10.59244806
1100122	JI-PARANA	RO	6896.649	-61.75725267	-10.46222053
1100130	MACHADINHO D'OESTE	RO	8509.27	-62.01037965	-9.204091498
1100148	NOVA BRASILANDIA D'OESTE	RO	1703.008	-62.28023793	-11.64311901
1100155	OURO PRETO DO OESTE	RO	1969.85	-62.17253238	-10.610553
1100189	PIMENTA BUENO	RO	6241.016	-60.83039667	-11.89446662
1100205	PORTO VELHO	RO	34090.952	-64.30681433	-9.153592827
1100254	PRESIDENTE MEDICI	RO	1758.465	-61.87795282	-11.16627397
1100262	RIO CRESPO	RO	1717.64	-62.79007448	-9.645211563
1100288	ROLIM DE MOURA	RO	1457.811	-61.77155553	-11.73255774
1100296	SANTA LUZIA D'OESTE	RO	1197.796	-61.7010906	-12.02696779
1100304	VILHENA	RO	11699.15	-60.24842048	-12.09562189
1100320	SAO MIGUEL DO GUAPORE	RO	7460.117	-62.98324825	-11.61496887
1100338	NOVA MAMORE	RO	10070.49	-64.62909952	-10.38216746
1100346	ALVORADA D'OESTE	RO	3029.189	-62.54499224	-11.31142097
1100379	ALTO ALEGRE DOS PARECIS	RO	3958.273	-61.88080742	-12.59373608
1100403	ALTO PARAISO	RO	2651.822	-63.39432225	-9.649310304
1100452	BURITIS	RO	3265.809	-63.94116273	-10.0521153
1100502	NOVO HORIZONTE DO OESTE	RO	843.446	-62.08320197	-11.68109391
1100601	CACAULANDIA	RO	1961.778	-62.98726129	-10.33160281
1100700	CAMPO NOVO DE RONDONIA	RO	3442.005	-63.79971647	-10.48493398
1100809	CANDEIAS DO JAMARI	RO	6843.868	-63.32562063	-8.886993889
1100908	CASTANHEIRAS	RO	892.841	-61.88006979	-11.47080226
1100924	CHUPINGUAIA	RO	5126.723	-60.89838405	-12.53732824
1100940	CUJUBIM	RO	3863.946	-62.56533584	-9.171093633
1101005	GOVERNADOR JORGE TEIXEIRA	RO	5067.384	-63.18401214	-10.74802935
1101104	ITAPUA DO OESTE	RO	4081.58	-63.04494129	-9.170209678
1101203	MINISTRO ANDREAZZA	RO	798.083	-61.56896917	-11.16029427
1101302	MIRANTE DA SERRA	RO	1191.875	-62.84797933	-11.07683784
1101401	MONTE NEGRO	RO	1931.378	-63.37239261	-10.2108325
1101435	NOVA UNIAO	RO	807.125	-62.53235714	-10.88934429
1101450	PARECIS	RO	2548.683	-61.41538368	-12.26232691
1101468	PIMENTEIRAS DO OESTE	RO	6014.733	-61.54530688	-13.17387596
1101476	PRIMAVERA DE RONDONIA	RO	605.692	-61.31533538	-11.87868596
1101484	SAO FELIPE D'OESTE	RO	541.647	-61.46707042	-11.90496797
1101492	SAO FRANCISCO DO GUAPORE	RO	10948.593	-63.12214695	-12.36840763
1101500	SERINGUEIRAS	RO	3773.505	-63.23069907	-11.80721765
1101559	TEIXEIROPOLIS	RO	459.978	-62.2797716	-10.94345328
1101609	THEOBROMA	RO	2197.413	-62.34250455	-10.12176887
1101708	URUPA	RO	831.857	-62.42441034	-11.10395282
1101757	VALE DO ANARI	RO	3135.106	-61.93910067	-9.732434292
1101807	VALE DO PARAISO	RO	965.676	-62.09404653	-10.3842567
1200013	ACRELANDIA	AC	1811.613	-66.9501677	-9.933934858
1200054	ASSIS BRASIL	AC	4979.073	-70.0056837	-10.77975886
1200104	BRASILEIA	AC	3928.174	-69.20747773	-10.74737378
1200138	BUJARI	AC	3034.869	-68.17371087	-9.614094874
1200179	CAPIXABA	AC	1705.824	-67.83584236	-10.47423341
1200203	CRUZEIRO DO SUL	AC	8783.47	-72.75480753	-7.971860231
1200252	EPITACIOLANDIA	AC	1652.674	-68.61822203	-10.88919626
1200302	FEIJO	AC	27976.874	-70.74477078	-8.924431928
1200328	JORDAO	AC	5357.227	-71.90611215	-9.242653117
1200336	MANCIO LIMA	AC	5451.617	-73.43909378	-7.504429807
1200344	MANOEL URBANO	AC	10630.6	-69.85377943	-9.381104114
1200351	MARECHAL THAUMATURGO	AC	8190.953	-72.55923165	-9.09628644
1200385	PLACIDO DE CASTRO	AC	1952.555	-67.34031894	-10.24909402
1200393	PORTO WALTER	AC	6446.385	-72.73355121	-8.491908531
